state,loss,subject_earnings,victim_count,pop_2018,loss_per_vic,frac
California,450.482128,0.015975,49031,39557045,0.009187700189675919,0.0012395010800225344
Louisiana,16.396262,9.35e-4,3469,4659978,0.004726509656961661,7.444241153069821e-4
New York,201.090065,0.007352,18124,19542209,0.011095236426837343,9.274284191720598e-4
Iowa,15.337975,6e-4,1983,3156145,0.007734732728189612,6.282981295219326e-4
Texas,195.611047,0.010252,25589,28701845,0.007644341201297433,8.915454738188433e-4
Oklahoma,11.587907,8.72e-4,2644,3943079,0.004382718229954614,6.705419800110523e-4
Florida,178.14147,0.009141,23984,21299325,0.007427512925283522,0.0011260450741983608
Nebraska,9.426684,0.001653,1205,1929268,0.007822974273858922,6.245892224408428e-4
North Carolina,137.230988,0.001997,7523,10383620,0.018241524391864945,7.245064823250465e-4
Kentucky,9.352781,7.83e-4,2813,4468402,0.00332484216139353,6.295315417010377e-4
Ohio,97.730046,0.002258,7812,11689442,0.012510246543778802,6.68295372867242e-4
District of Columbia,8.89983,8.45e-4,1364,702455,0.006524802052785924,0.001941761393968297
Illinois,82.849726,0.003919,10087,12741080,0.008213515019331813,7.91691128224609e-4
New Mexico,8.617772,4.28e-4,2127,2095428,0.00405160883874001,0.0010150670889193044
Michigan,80.929815,0.002309,7533,9995915,0.010743371166865792,7.536078488062373e-4
West Virginia,8.298753,2.61e-4,1109,1805832,0.007483095581605049,6.141213579114779e-4
New Jersey,79.711752,0.003645,8440,8908520,0.00944452037914692,9.474076502045233e-4
Arkansas,6.971524,4.98e-4,1849,3013825,0.0037704294213088156,6.135060927558833e-4
Massachusetts,68.242216,0.001485,6173,6902149,0.011054951563259354,8.943591336553297e-4
Rhode Island,6.929001,2.97e-4,1028,1057315,0.006740273346303502,9.72274109418669e-4
Pennsylvania,62.692761,0.002601,10554,12807060,0.005940189596361569,8.240767201840235e-4
Idaho,6.853195,3.48e-4,1513,1754208,0.004529540647719763,8.624974917455627e-4
Georgia,61.466974,0.003081,9095,10519475,0.006758325893347994,8.645868733943472e-4
Montana,6.612063,7.39e-4,787,1062305,0.008401604828462516,7.408418486216294e-4
Washington,60.513117,0.002819,10775,7535591,0.005616066542923434,0.001429881213032926
Hawaii,6.4607849999999996,3e-4,1100,1420491,0.005873440909090909,7.743801263084384e-4
Minnesota,48.814059,9.69e-4,4304,5611179,0.011341556459107806,7.670402245232241e-4
New Hampshire,6.084633,2.42e-4,1056,1356458,0.005761963068181818,7.784981178923343e-4
Maryland,47.180259,0.004279,8777,6042718,0.005375442520223311,0.0014524920739309695
Mississippi,5.725032,7.1e-4,1882,2986530,0.003041993623804463,6.301627641443414e-4
Arizona,45.166115,0.002089,8027,7171646,0.005626774012707113,0.0011192688540399233
Puerto Rico,5.219087,1.15e-4,704,3195153,0.007413475852272727,2.2033373675689396e-4
Virginia,43.792436,0.007569,14800,8517685,0.0029589483783783784,0.0017375613209457733
Wyoming,4.517128,1.4e-4,497,577737,0.009088788732394366,8.602530217036472e-4
Connecticut,37.859918,6.24e-4,3134,3572665,0.01208038225909381,8.772163077142693e-4
Alaska,3.616856,2.68e-4,1603,737438,0.002256304429195259,0.002173742063739596
Colorado,34.082849,0.001707,9328,5695564,0.003653821719554031,0.0016377658121302825
Delaware,3.141393,8.25e-4,897,967171,0.0035021103678929766,9.274471629112122e-4
Indiana,29.577716,0.001209,4676,6691878,0.006325431137724551,6.987575087292387e-4
U.S. Virgin Islands,2.72379,1.5e-5,65,104914,0.04190446153846154,6.195550641477782e-4
Nevada,28.920936,0.002251,5228,3034392,0.005531931140015303,0.0017229151671900006
Maine,2.699746,2.4e-4,832,1338404,0.0032448870192307694,6.216359186015583e-4
Oregon,28.599963,0.001257,4511,4190713,0.00634004943471514,0.0010764278059604655
North Dakota,2.296789,3.52e-4,459,760077,0.005003897603485839,6.038861852154453e-4
Tennessee,28.590404,0.002016,5584,6770010,0.005120058022922636,8.248141435537022e-4
Vermont,2.127317,1.4e-4,525,626299,0.004052032380952381,8.382577650610971e-4
Missouri,25.57774,0.001375,5508,6126452,0.00464374364560639,8.990521757127943e-4
South Dakota,1.733826,1.66e-4,465,882235,0.003728658064516129,5.27070451750384e-4
Wisconsin,24.649284,8.58e-4,6621,5813568,0.003722894426823743,0.0011388875127976486
Guam,0.155055,4e-6,52,165718,0.002981826923076923,3.1378607031221713e-4
Utah,20.617421,8.43e-4,3041,3161105,0.006779816178888524,9.620053747028334e-4
U.S. Minor Outlying Islands,0.096346,1.6e-5,47,270,0.0020499148936170214,0.17407407407407408
South Carolina,19.56792,0.001124,3575,5084127,0.005473544055944056,7.031689019570124e-4
American Samoa,0.018537,3e-6,16,55679,0.0011585625,2.8736148278525115e-4
Kansas,17.474768,8.66e-4,2098,2911505,0.008329250714966636,7.205895232877842e-4
Northern Mariana Islands,0.013865,3e-6,15,55194,9.243333333333333e-4,2.7176867050766385e-4
Alabama,16.911098,0.001059,4585,4887871,0.0036883528898582333,9.380362124941513e-4
